,_time,id,count,Date,Time
0,2023-09-17 15:55:00+00:00,line_1,,2023-09-17,15:55:00
1,2023-09-17 16:00:00+00:00,line_1,,2023-09-17,16:00:00
2,2023-09-17 16:05:00+00:00,line_1,,2023-09-17,16:05:00
3,2023-09-17 16:10:00+00:00,line_1,,2023-09-17,16:10:00
4,2023-09-17 16:15:00+00:00,line_1,,2023-09-17,16:15:00
5,2023-09-17 16:20:00+00:00,line_1,,2023-09-17,16:20:00
6,2023-09-17 16:25:00+00:00,line_1,,2023-09-17,16:25:00
7,2023-09-17 16:30:00+00:00,line_1,,2023-09-17,16:30:00
8,2023-09-17 16:35:00+00:00,line_1,,2023-09-17,16:35:00
9,2023-09-17 16:40:00+00:00,line_1,,2023-09-17,16:40:00
10,2023-09-17 16:45:00+00:00,line_1,,2023-09-17,16:45:00
11,2023-09-17 16:50:00+00:00,line_1,,2023-09-17,16:50:00
12,2023-09-17 16:55:00+00:00,line_1,,2023-09-17,16:55:00
13,2023-09-17 17:00:00+00:00,line_1,,2023-09-17,17:00:00
14,2023-09-17 17:05:00+00:00,line_1,,2023-09-17,17:05:00
15,2023-09-17 17:10:00+00:00,line_1,,2023-09-17,17:10:00
16,2023-09-17 17:15:00+00:00,line_1,,2023-09-17,17:15:00
17,2023-09-17 17:20:00+00:00,line_1,,2023-09-17,17:20:00
18,2023-09-17 17:25:00+00:00,line_1,,2023-09-17,17:25:00
19,2023-09-17 17:30:00+00:00,line_1,,2023-09-17,17:30:00
20,2023-09-17 17:35:00+00:00,line_1,,2023-09-17,17:35:00
21,2023-09-17 17:40:00+00:00,line_1,,2023-09-17,17:40:00
22,2023-09-17 17:45:00+00:00,line_1,,2023-09-17,17:45:00
23,2023-09-17 17:50:00+00:00,line_1,,2023-09-17,17:50:00
24,2023-09-17 17:55:00+00:00,line_1,,2023-09-17,17:55:00
25,2023-09-17 18:00:00+00:00,line_1,,2023-09-17,18:00:00
26,2023-09-17 18:05:00+00:00,line_1,,2023-09-17,18:05:00
27,2023-09-17 18:10:00+00:00,line_1,,2023-09-17,18:10:00
28,2023-09-17 18:15:00+00:00,line_1,,2023-09-17,18:15:00
29,2023-09-17 18:20:00+00:00,line_1,,2023-09-17,18:20:00
30,2023-09-17 18:25:00+00:00,line_1,,2023-09-17,18:25:00
31,2023-09-17 18:30:00+00:00,line_1,,2023-09-17,18:30:00
32,2023-09-17 18:35:00+00:00,line_1,,2023-09-17,18:35:00
33,2023-09-17 18:40:00+00:00,line_1,,2023-09-17,18:40:00
34,2023-09-17 18:45:00+00:00,line_1,,2023-09-17,18:45:00
35,2023-09-17 18:50:00+00:00,line_1,,2023-09-17,18:50:00
36,2023-09-17 18:55:00+00:00,line_1,,2023-09-17,18:55:00
37,2023-09-17 19:00:00+00:00,line_1,,2023-09-17,19:00:00
38,2023-09-17 19:05:00+00:00,line_1,,2023-09-17,19:05:00
39,2023-09-17 19:10:00+00:00,line_1,,2023-09-17,19:10:00
40,2023-09-17 19:15:00+00:00,line_1,,2023-09-17,19:15:00
41,2023-09-17 19:20:00+00:00,line_1,,2023-09-17,19:20:00
42,2023-09-17 19:25:00+00:00,line_1,,2023-09-17,19:25:00
43,2023-09-17 19:30:00+00:00,line_1,,2023-09-17,19:30:00
44,2023-09-17 19:35:00+00:00,line_1,,2023-09-17,19:35:00
45,2023-09-17 19:40:00+00:00,line_1,,2023-09-17,19:40:00
46,2023-09-17 19:45:00+00:00,line_1,,2023-09-17,19:45:00
47,2023-09-17 19:50:00+00:00,line_1,86.0,2023-09-17,19:50:00
48,2023-09-17 19:55:00+00:00,line_1,36.0,2023-09-17,19:55:00
49,2023-09-17 20:00:00+00:00,line_1,72.0,2023-09-17,20:00:00
50,2023-09-17 20:05:00+00:00,line_1,62.0,2023-09-17,20:05:00
51,2023-09-17 20:10:00+00:00,line_1,16.0,2023-09-17,20:10:00
52,2023-09-17 20:15:00+00:00,line_1,,2023-09-17,20:15:00
53,2023-09-17 20:20:00+00:00,line_1,,2023-09-17,20:20:00
54,2023-09-17 20:25:00+00:00,line_1,4.0,2023-09-17,20:25:00
55,2023-09-17 20:30:00+00:00,line_1,,2023-09-17,20:30:00
56,2023-09-17 20:35:00+00:00,line_1,,2023-09-17,20:35:00
57,2023-09-17 20:40:00+00:00,line_1,6.0,2023-09-17,20:40:00
58,2023-09-17 20:45:00+00:00,line_1,12.0,2023-09-17,20:45:00
59,2023-09-17 20:50:00+00:00,line_1,16.0,2023-09-17,20:50:00
60,2023-09-17 20:55:00+00:00,line_1,,2023-09-17,20:55:00
61,2023-09-17 21:00:00+00:00,line_1,,2023-09-17,21:00:00
62,2023-09-17 21:05:00+00:00,line_1,,2023-09-17,21:05:00
63,2023-09-17 21:10:00+00:00,line_1,,2023-09-17,21:10:00
64,2023-09-17 21:15:00+00:00,line_1,,2023-09-17,21:15:00
65,2023-09-17 21:20:00+00:00,line_1,,2023-09-17,21:20:00
66,2023-09-17 21:25:00+00:00,line_1,,2023-09-17,21:25:00
67,2023-09-17 21:30:00+00:00,line_1,,2023-09-17,21:30:00
68,2023-09-17 21:35:00+00:00,line_1,,2023-09-17,21:35:00
69,2023-09-17 21:40:00+00:00,line_1,,2023-09-17,21:40:00
70,2023-09-17 21:45:00+00:00,line_1,,2023-09-17,21:45:00
71,2023-09-17 21:50:00+00:00,line_1,,2023-09-17,21:50:00
72,2023-09-17 21:55:00+00:00,line_1,,2023-09-17,21:55:00
73,2023-09-17 22:00:00+00:00,line_1,,2023-09-17,22:00:00
74,2023-09-17 22:05:00+00:00,line_1,,2023-09-17,22:05:00
75,2023-09-17 22:10:00+00:00,line_1,,2023-09-17,22:10:00
76,2023-09-17 22:15:00+00:00,line_1,,2023-09-17,22:15:00
77,2023-09-17 22:20:00+00:00,line_1,,2023-09-17,22:20:00
78,2023-09-17 22:25:00+00:00,line_1,,2023-09-17,22:25:00
79,2023-09-17 22:30:00+00:00,line_1,,2023-09-17,22:30:00
80,2023-09-17 22:35:00+00:00,line_1,,2023-09-17,22:35:00
81,2023-09-17 22:40:00+00:00,line_1,,2023-09-17,22:40:00
82,2023-09-17 22:45:00+00:00,line_1,,2023-09-17,22:45:00
83,2023-09-17 22:50:00+00:00,line_1,,2023-09-17,22:50:00
84,2023-09-17 22:55:00+00:00,line_1,,2023-09-17,22:55:00
85,2023-09-17 23:00:00+00:00,line_1,,2023-09-17,23:00:00
86,2023-09-17 23:05:00+00:00,line_1,,2023-09-17,23:05:00
87,2023-09-17 23:10:00+00:00,line_1,,2023-09-17,23:10:00
88,2023-09-17 23:15:00+00:00,line_1,,2023-09-17,23:15:00
89,2023-09-17 23:20:00+00:00,line_1,,2023-09-17,23:20:00
90,2023-09-17 23:25:00+00:00,line_1,,2023-09-17,23:25:00
91,2023-09-17 23:30:00+00:00,line_1,,2023-09-17,23:30:00
92,2023-09-17 23:35:00+00:00,line_1,,2023-09-17,23:35:00
93,2023-09-17 23:40:00+00:00,line_1,,2023-09-17,23:40:00
94,2023-09-17 23:45:00+00:00,line_1,,2023-09-17,23:45:00
95,2023-09-17 23:50:00+00:00,line_1,,2023-09-17,23:50:00
96,2023-09-17 23:55:00+00:00,line_1,,2023-09-17,23:55:00
97,2023-09-18 00:00:00+00:00,line_1,,2023-09-18,00:00:00
98,2023-09-18 00:05:00+00:00,line_1,,2023-09-18,00:05:00
99,2023-09-18 00:10:00+00:00,line_1,,2023-09-18,00:10:00
100,2023-09-18 00:15:00+00:00,line_1,,2023-09-18,00:15:00
101,2023-09-18 00:20:00+00:00,line_1,,2023-09-18,00:20:00
102,2023-09-18 00:25:00+00:00,line_1,,2023-09-18,00:25:00
103,2023-09-18 00:30:00+00:00,line_1,,2023-09-18,00:30:00
104,2023-09-18 00:35:00+00:00,line_1,,2023-09-18,00:35:00
105,2023-09-18 00:40:00+00:00,line_1,,2023-09-18,00:40:00
106,2023-09-18 00:45:00+00:00,line_1,,2023-09-18,00:45:00
107,2023-09-18 00:50:00+00:00,line_1,,2023-09-18,00:50:00
108,2023-09-18 00:55:00+00:00,line_1,,2023-09-18,00:55:00
109,2023-09-18 01:00:00+00:00,line_1,,2023-09-18,01:00:00
110,2023-09-18 01:05:00+00:00,line_1,,2023-09-18,01:05:00
111,2023-09-18 01:10:00+00:00,line_1,,2023-09-18,01:10:00
112,2023-09-18 01:15:00+00:00,line_1,,2023-09-18,01:15:00
113,2023-09-18 01:20:00+00:00,line_1,,2023-09-18,01:20:00
114,2023-09-18 01:25:00+00:00,line_1,,2023-09-18,01:25:00
115,2023-09-18 01:30:00+00:00,line_1,,2023-09-18,01:30:00
